Jogo;Pergunta Desafio;Modo
Desafio;Dançar a coreografia de uma música da sua infância;Normal
decisoes de merda;Escolher um amigo na brincadeira para fazer uma competição de quem bebe 1l de água mais rápido quem perder bebe uma dose;Normal
decisoes de merda;Ligue para um número qualquer e cante “Parabéns pra você” para quem atender;Normal
Desafio;Fique em uma perna por um minuto sem perder o equilíbrio;Normal
Verdade;Qual foi a coisa mais embaraçosa que seus pais já pegaram você fazendo?;Normal
Verdade;Já viu algum vizinho trocando de roupa sem querer?;Normal
Verdade;Já ficou com o(a) ex-namorado(a) de um(a) amigo(a)?;Normal
decisoes de merda;Ir pra casa ou tomar 3 doses;Normal
verdade;Você já se masturbou na frente de um espelho?;18
verdade;Você já beijou uma pessoa do mesmo sexo?;18
verdade;Em um mundo ideal, quanto tempo você acha que o sexo deveria durar?;18
verdade;O que você gostaria que o próxima pessoa dissesse em seu ouvido enquanto fazem sexo?;18
verdade;Se você pudesse tocar apenas uma parte do corpo do jogador antecessor, qual seria?;18
verdade;O que você gostaria que fizessem com você, que não fizeram com você?;18
verdade;Com luz ou sem luz?;18
verdade;"Pergunte qualquer jogador ""o que você quer Fazer comigo agora mesmo?""";18
verdade;Qual foi o mais longe que você foi em um primeiro encontro?;18
verdade;O que você faria se o jogador antecessor te enviasse uma foto muito Pelado?;18
verdade;Até hoje... Quanto tempo você aguenta sem fazer sexo?;18
verdade;Qual jogador você gostaria de ver enquanto se toca?;18
verdade;Qual é a coisa mais rica que uma alguém fez com você na cama?;18
verdade;Qual foi seu último sonho erótico?, detalhes;18
verdade;Você prefere sexo selvagem ou sensual?;18
Desafio;Desafio você a adivinhar o que o próximo jogador está vestindo;18
Desafio;Desafio a dançar para algum jogador da sua escolha;18
Desafio;Eu te desafio a dar um beijo de língua no próximo jogador;18
Desafio;Te desafio a descobrir o ponto fraco do próximo jogador;18
Desafio;Desafio você a se levantar e deslizar um cubo de gelo pelo seu corpo até que ele derreta;18
Desafio;Te desafio a se masturba na frente de todos;18
Desafio;Te desafio a fazer o jogador antecessor gemer de prazer;18
Desafio;Desafio você usar o jogador antecessor para mostrar como se faz um sexo oral em você;18
Desafio;Te desafio a recitar um conto erótico;18
Desafio;Todos os jogadores iram escolher uma parte do seu corpo e passar a língua sobre ela;18
Desafio;desafio você a excitar o jogador antecessor a você somente com os dedos em 20 segundos.;18
Desafio;Faça uma massagem no jogador antecessor enquanto descreve uma situação sexual;18
verdade;Diga-me uma frase que você gosta de ouvir quando está quase gozando;18
Desafio;Desafio você a dizer algo no ouvido do próximo jogador pra deixar ele animado;18
Amigos de Merda;Quem já) Já ficou com ex de amigo e escondeu até hoje.;Normal
Amigos de Merda;[Quem já] Transou no rolê e voltou como se nada tivesse acontecido.;Normal
Amigos de Merda;[Quem já) Fez barraco por ciúmes em público.;Normal
Amigos de Merda;[Quem já] Usou drogas e fingiu que era 'primeira vez'.;Normal
Amigos de Merda;[Quem já] Mentiu que tava solteiro só pra beijar alguém.;Normal
Amigos de Merda;[Quem já] Entupiu banheiro dos outros e ficou quieto.;Normal
Amigos de Merda;[Quem já] Stalkeou tanto que curtiu foto de 2012.;Normal
Amigos de Merda;[Quem já) Fingiu orgasmo.;Normal
Amigos de Merda;[Quem tem cara] Teria um perfil secreto no OnlyFans?;Normal
Amigos de Merda;[Quem tem cara] Pegaria o próprio chefe por promoção?;Normal
Amigos de Merda;[Quem tem cara] Seria cancelado na internet?;Normal
Amigos de Merda;[Quem tem cara) Faria pacto de amarração?;Normal
Amigos de Merda;[Quem tem caral Venderia a alma por 5 minutos de fama.;Normal
Amigos de Merda;[Quem tem cara] Daria em cima do ex do amigo na primeira oportunidade.;Normal
Amigos de Merda;Vote em quem] Tem mais chance de se cagar bêbado.;Normal
Amigos de Merda;[Vote em quem] Você não confiaria pra cuidar do seu pet.;Normal
Amigos de Merda;[Vote em quem] Já foi cacaga e depois voltou como se nada tivesse acontecido.;Normal
Amigos de Merda;[Vote em quem] Você suspeita que ficaria com alguém por interesse financeiro.;Normal
Amigos de Merda;[Vote em quem] Faria o amigo levar culpa só pra se safar.;Normal
Amigos de Merda;[Vote em quem] Tem energia de quem peida no elevador e sai antes de fechar.;Normal
Desafio;[Desafio] Revele um segredo sobre alguém aqui ou beba.;Normal
Desafio;[Desafio] Leia a última mensagem picante que recebeu em voz alta.;Normal
Desafio;[Desafio] Escolha dois pra darem um selinho ou ambos bebem.;Normal
Desafio;[Desafio) Ligue pra um ex agora e diga 'tava pensando em você'.;Normal
Desafio;[Desafio] Mostre sua última busca no Google ou invente uma fake confissão.;Normal
Desafio;[Desafio] Faça uma dancinha sexy de 15 segundos ou todo mundo te chama de 'covarde' o resto do jogo.;Normal
Eu Nunca;Eu nunca fi uei obcecado em stalkear al uém nas redes sociais.;Normal
Eu Nunca;Eu nunca fui expulso da sala de aula.;Normal
Eu Nunca;Eu nunca peguei carona com estranhos.;Normal
Eu Nunca;Eu nunca fui parado por policiais.;Normal
Eu Nunca;Nunca andei de cavalo.;Normal
Eu Nunca;Eu nunca quebrei um osso.;Normal
Eu Nunca;Eu nunca tentei cortar meu próprio cabelo.;Normal
Eu Nunca;Eu nunca pedi dinheiro no sinal.;Normal
Eu Nunca;Eu nunca levei um tapa no rosto.;Normal
Eu Nunca;Eu nunca chorei no trans orte úblico.;Normal
Eu Nunca;Eu nunca apareci na TV.;Normal
Eu Nunca;Eu nunca me arrependi imediatamente após enviar uma mensagem.;Normal
Eu Nunca;Eu nunca passei mais de dois dias sem tomar banho.;Normal
Eu Nunca;Eu nunca dormi na rua.;Normal
Eu Nunca;Eu nunca pulei Carnaval.;Normal
Eu Nunca;Eu nunca nadei pelado em uma raia ou cachoeira.;dificil
Eu Nunca;Nunca beijei alguém que eu não conhecia.;dificil
Eu Nunca;Eu nunca fiquei apaixonado por al gum professor.;dificil
Eu Nunca;Nunca Passei o número errado Para alguém.;Normal
Eu Nunca;Eu nunca dei em cima do namorado a de algum amigo.;dificil
Eu Nunca;Eu nunca disse eu te amo para alguém que eu não amava de verdade.;dificil
Eu Nunca;Eu nunca passei a madrugada mandando mensagem para alguém.;dificil
Eu Nunca;Eu nunca implorei para algum ex voltar para mim.;dificil
Eu Nunca;Eu nunca fiquei com mais de uma pessoa ao mesmo tempo.;dificil
Eu Nunca;Eu nunca vi duas essoas tendo relações íntimas.;dificil
Eu Nunca;"Eu nunca tive um ""amigo colorido""";dificil
Eu Nunca;"Eu nunca comprei um ""brinquedo de estimulaçao"".";dificil
Eu Nunca;Eu nunca gravei vídeo enquanto estava ficando com alguém.;dificil
Eu Nunca;Eu nunca mandei fotos sem roupa para alguém.;dificil
Eu Nunca;Eu nunca rebolei até a boquinha da garrafa.;dificil
Eu Nunca;Eu nunca beijei um parente;18
Eu Nunca;Eu nunca transei menstruada.;18
Eu Nunca;Eu nunca disfarcei uma marca de chupão;18
Eu Nunca;Eu nunca fiz sexo à distância.;18
Eu Nunca;Eu nunca li contos eróticos.;18
Eu Nunca;Eu nunca senti sabor de esperma;18
Eu Nunca;Eu nunca recebi um beijo grego.;18
Eu Nunca;EU nunca fiz safadezas no cinema.;18
Eu Nunca;Eu nunca criei uma playlist de músicas para Transar;18
Eu Nunca;Eu nunca usei bolas chinesas.;18
Eu Nunca;Eu nunca transei em uma banheira.;18
Eu Nunca;Eu nunca dei minhas roupas íntimas de presente para alguém.;18
Eu Nunca;Eu nunca fiz uma garganta profunda.;18
Eu Nunca;Eu nunca fiz um anal giratório.;18
Isso ou aquilo;Perder seus órgãos sexuais para sempre ou ganhar 100 kg para sempre? Beba uma dose;dificil
Isso ou aquilo;Trair ou ser traído? Beba uma dose;dificil
Isso ou aquilo;Matar ou morrer? Beba uma dose;dificil
Isso ou aquilo;Ser rico mas sozinho(a) ou pobre mas cercado de amigos? Beba uma dose;dificil
Isso ou aquilo;Perder a visão ou perder a memória? Beba uma dose;dificil
Isso ou aquilo;Ficar sem comer arroz e feijão pelo resto da vida ou sem receber sexo oral para sempre? Beba uma dose;dificil
Isso ou aquilo;Ter sexo com alguém que nunca toma banho ou com alguém que nunca escova os dentes? Beba uma dose;dificil
Isso ou aquilo;Ser beijado na boca (e apenas na boca) ou em todas as partes do seu corpo, exceto a boca? Beba uma dose;dificil
Isso ou aquilo;Namorar com alguém que ri muito quando você tira as roupas ou com alguém que chora? Beba uma dose;dificil
Isso ou aquilo;Transar com alguém que goza após 5 segundos ou após 5 horas? Beba uma dose;dificil
Isso ou aquilo;Ter tesão 24 horas por dia ou apenas um dia por ano? Beba uma dose;dificil
Isso ou aquilo;Sexo com as luzes acesas ou apagadas? Beba uma dose;dificil
Isso ou aquilo;Cuspir ou engolir? Beba uma dose;dificil
Isso ou aquilo;Chupar ou ser chupado? Beba uma dose;dificil
Isso ou aquilo;Sexo matinal ou de madrugada? beba uma dose;dificil
Isso ou aquilo;Passar o resto da vida transando por cima, ou o resto da vida transando por baixo? Beba uma dose;dificil
Isso ou aquilo;prefere um homem lindo com penis pequeno, ou um homem feio com o penis grande? Beba uma dose;dificil
Eu Nunca;Eu nunca fiz sexo sem querer.;dificil
Eu Nunca;Eu já fiz sexo com mais de uma pessoa no mesmo dia.;dificil
Eu Nunca;Eu sempre quis me deitar com a mãe/o pai de um amigo/a.;dificil
Eu Nunca;Eu sempre quis me jogar no irmão/irmã de um amigo/amiga.;dificil
Eu Nunca;Eu sempre quis me envolver com alguém presente.;dificil
Eu Nunca;Eu nunca tive fantasias sexuais sobre alguém que não considerasse atraente.;dificil
Eu Nunca;Eu nunca fiz sexo de improviso.;dificil
Eu Nunca;Jamais terminei na boca de alguém/ acabaram comigo na boca.;dificil
Eu Nunca;Eu nunca quis me jogar em cima do namorado/a de um amigo a.;dificil
Eu Nunca;Nunca me pediram para ser mais lento porque eu ia rápido demais.;dificil
Eu Nunca;Nunca deixei alguém na vontade.;dificil
Eu Nunca;A mim nunca me deixaram na vontade.;dificil
Eu Nunca;".Eu nunca tive a típica discussão de ""luzes acesas/apagadas"".";dificil
Eu Nunca;Já encontrei um cabelo na boca após fazer sexo oral.;dificil
Eu Nunca;Jamais trai.;dificil
Eu Nunca;A mim nunca me foram colocados os corno.;18
Eu Nunca;Eu nunca duvidei da minha orientação sexual.;18
Eu Nunca;Nunca me envolvi com duas pessoas de sexo diferente em uma noite.;18
Eu Nunca;Já me envolvi com alguém e me arrependi imediatamente depois.;18
Eu Nunca;Eu nunca tive sexo com vergonha.;18
Eu Nunca;Eu já transei com meu ex.;18
Eu Nunca;Nunca me pegaram no ato.;18
Eu Nunca;Eu nunca fiz isso em um lugar público.;18
Eu Nunca;Jamais fiz isso na cama de uma terceira pessoa.;18
Eu Nunca;Eu nunca fiz sexo com mais pessoas ao redor.;18
Eu Nunca;Eu nunca fiz um triângulo.;18
Eu Nunca;Sempre tive fantasias sexuais sobre fazer um trio com meu namorado/a e outra pessoa.;18
Eu Nunca;Sempre me masturbo com um objeto inanimado.;18
Eu Nunca;Eu já me machuquei ao me masturbar.;18
Eu Nunca;Nunca pratiquei sadomasoquismo ou usei objetos relacionados.;18
Eu Nunca;Eu nunca tentei anal uma vez,.;18
Eu Nunca;Eu nunca pratiquei sexo anal por prazer.;18
Eu Nunca;Nunca me envolvi/senti atração com alguém que tinha no mínimo 5 anos a mais que eu.;18
Eu Nunca;Nunca fiz nada sexual na escola/universidade.;18
Eu Nunca;A mim nunca me fizeram um chupetão em um lugar pouco comum.;18
Eu Nunca;Já tentei embriagar alguém para ficar com essa pessoa.;18
Eu Nunca;Nunca vi pornô com outra pessoa.;18
Eu Nunca;Nunca me gravei com alguém na cama.;18
Eu Nunca;Nunca me masturbei com um filme que não fosse pornográfico.;18
Eu Nunca;Eu nunca tive um gatilho sexual.;18
Eu Nunca;Eu nunca fiz sexo com a régua.;18
Eu Nunca;Nunca me mijaram em cima.;18
Eu Nunca;Eu sempre fiz sexo disfarçando para satisfazer alguém.;18
Eu Nunca;Jamais me envolvi com o garoto/a que estava tentando conquistar um amigo/a.;18
Eu Nunca;Eu sempre engoli Gozo.;18
Eu Nunca;Eu já fiquei excitado em um momento muito inadequado.;18
Eu Nunca;Eu nunca tive um preservativo quebrado.;18
Eu Nunca;Nunca estive um ano sem sexo após tê-lo feito anteriormente.;18
Eu Nunca;Nunca me limpei tão forte que o papel se rompe e meu dedo indicador acaba tocando meu anus.;dificil
Eu Nunca;Eu nunca envolvi comida no sexo.;18
Eu Nunca;Eu nunca fiz sexo em uma festa.;18
Eu Nunca;Eu nunca tomei a pílula do dia seguinte.;18
Eu Nunca;Eu nunca tive sexo por telefone.;18
Desafio;Solte o bicho e imite o seu animal favorito.;Normal
Faz ou Bebe;Compartilhe um print do seu histórico de buscas na internet com o grupo. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Tente desenhar uma estrela. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Conte o seu momento mais constrangedor do ensino médio.  Se não conseguir, tome um shot;Normal
Faz ou Bebe;Ligue para a primeira pessoa na sua lista de contatos e converse usando apenas sons de animais. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Faça uma mímica de uma performance de rock lendária sem dizer o nome da música ou da banda. Se o grupo não adivinhar,Todos bebem!;Normal
Faz ou Bebe;Conte uma história constrangedora de quando você tentou impressionar alguém. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Faça um trote para alguém da sua lista de contatos e tente mantê-los na linha por um minuto inteiro. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Imitar seu celebridade favorito por um minuto. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Conte o boato mais absurdo que já ouviu sobre você. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Finja ser um participante de um reality show de culinária e descreva o prato que está preparando. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Faça 10 flexões. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Conte onde foi o lugar mais estranho que você já tirou um cochilo. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Proponha casamento à pessoa à sua esquerda com um anel feito do que você conseguir encontrar. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Tire uma selfie fazendo careta e mande para o seu ex Se não conseguir, tome um shot;Normal
Faz ou Bebe;Faça uma mímica de uma cena famosa de filme. Se o grupo não adivinhar, Todos bebem!;Normal
Faz ou Bebe;Descreva seu primeiro beijo sem usar as palavras ‘boca’ ou ’lábios’. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Cante o alfabeto de trás para frente. Se errar, tome um shot.;Normal
Faz ou Bebe;Conte a piada mais engraçada que você conhece. Se ninguém rir, beba.;Normal
Faz ou Bebe;Tente fazer um breakdance. Se não conseguir fazer um movimento, tome um shot.;Normal
Faz ou Bebe;Compartilhe um talento secreto que ninguém na sala sabe. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Finja ser um guia turístico em uma cidade que você nunca visitou. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Invente um novo passo de dança e mostre para o grupo. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Conte-nos sobre uma vez que você foi pego fazendo algo que não deveria. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Fale em rimas até a sua próxima vez.  Se não conseguir, tome um shot;Normal
Faz ou Bebe;Diga três pessoas que você gostaria de namorar na sala e por quê. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Liste três coisas que você faria se ganhasse na loteria. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Troque de roupa com qualquer pessoa nesta sala e use-as pelo resto do jogo. Se não conseguir, tome um shot;Normal
Faz ou Bebe;Aponte para a pessoa nesta sala com quem você teria um caso de uma noite. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Faça uma dança sensual para a pessoa à sua frente. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Diga quem tem o corpo mais atraente nesta sala. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Beije a pessoa à sua esquerda por um minuto. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Demonstre sua posição sexual favorita usando travesseiros. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Poste uma foto sensual no seu Instagram agora mesmo. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Adivinhe a cor da lingerie da pessoa à sua direita. Se errar, tome um shot. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Descreva o melhor beijo que você já deu. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Envie uma mensagem para o seu ex dizendo “sinto sua falta” e mostre a captura de tela para o grupo. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Mostre sua barriga ou abdômen para o grupo Se não conseguir, tome um shot;dificil
Faz ou Bebe;Dê uma massagem sensual na pessoa sentada ao seu lado. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Mostre suas habilidades e faça movimentos sensuais no chão por um minuto. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Flerte com alguém do grupo como se estivesse em um bar. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Rasteje sensualmente pelo cômodo. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Dê um lap dance para a pessoa de sua escolha. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Beije o lóbulo da orelha da pessoa à sua frente. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Envie uma mensagem ousada para um contato aleatório no seu telefone e mostre a resposta para o grupo. Se não conseguir, tome um shot;dificil
Faz ou Bebe;Faça sua melhor imitação de um gemido de estrela pornô. Se não conseguir, tome um shot;18
Faz ou Bebe; Dê um lap dance para a pessoa à sua esquerda. Se não conseguir, tome um shot;18
Faz ou Bebe;Tome um shot do corpo da pessoa à sua direita. Se não conseguir, tome um shot;18
Faz ou Bebe;Tire sua camisa. Se não conseguir, tome um shot;18
Faz ou Bebe;Beije a pessoa à sua esquerda por 30 segundos Se não conseguir, tome um shot;18
Faz ou Bebe;Ligue para um ex e fale coisas picantes por um minuto. Se não conseguir, tome um shot;18
Faz ou Bebe;Mostre-se para todos na festa por 3 segundos. Se não conseguir, tome um shot;18
Faz ou Bebe;Finja ser um stripper e faça uma performance por 2 minutos Se não conseguir, tome um shot;18
Faz ou Bebe;Sussurre algo provocante no ouvido da pessoa três assentos distante de você. Se não conseguir, tome um shot;18
Faz ou Bebe;Troque uma peça de roupa com alguém do sexo oposto Se não conseguir, tome um shot;18
Faz ou Bebe;Faça sua melhor performance de rastejar sensualmente em direção ao anfitrião Se não conseguir, tome um shot;18
Faz ou Bebe;Envie uma mensagem de texto ousada para alguém nos seus contatos escolhido pelo grupo Se não conseguir, tome um shot;18
Faz ou Bebe;Faça 20 flexões enquanto alguém senta nas suas costas Se não conseguir, tome um shot;18
Faz ou Bebe;Conte uma piada suja que faça todos corarem Se não conseguir, tome um shot;18
Faz ou Bebe;Compartilhe o sonho mais atrevido que você já teve Se não conseguir, tome um shot;18
verdade; Se você obrigado(a) a matar uma pessoa de sua família, quem seria e porque? ;dificil
verdade;Qual o pior trauma que você já passou em sua vida? ;dificil
verdade; Qual atitude foi o seu pior desvio de caráter na vida? ;dificil
verdade; Qual a maior culpa que você carrega? ;dificil
verdade;Para você, quem dessa roda é a pessoa mais complexada e porque? ;dificil
verdade;Identifique um padrão podre nas escolhas de seus relacionamentos ;dificil
verdade;Qual a verdade mais dura que você já ouviu?;dificil
verdade;O que você não seria capaz de fazer por dinheiro nenhum no mundo? ;dificil
verdade;Conte um segredo de alguém sem dizer o nome da pessoa;dificil
verdade;Qual o pior mau que você já fez a alguém?;dificil
verdade;Qual o lugar mais inusitado que você já fez sexo? ;18
verdade;Cite seus dois maiores fetiches ;18
verdade;Diga três lugares do seu corpo que te dá muito tesão ;18
verdade;Se você tivesse que transar com alguém da roda, com quem seria? ;18
verdade;Qual a coisa mais estranha que já aconteceu durante o sexo ou em uma situação de pregação?;18
verdade;O que você não gosta e jamais faria no sexo?;18
verdade; Diga duas experiências sexuais que você odiou, explique. ;18
verdade;Diga duas coisas que você descobriu ou está descobrindo que gosta no sexo? ;18
verdade;Descreva sem pressa uma situação ideal que com certeza de daria muito prazer e te faria chegar lá bem rápido. ;18
verdade;Cite duas experiências sexuais que na sua memória até então, foram as mais prazerosas de sua vida. Explique!;18
verdade; Se pudesse voltar no tempo ao longo de sua vida, para qual dia você voltaria e porque? ;normal
verdade;Compartilhe um objetivo de vida pessoal que provavelmente ninguém sabe. ;normal
verdade; Para você qual é o seu maior defeito? Explique!;normal
verdade;O que é imprescindível para você em qualquer relação? ;normal
verdade;Você perdoaria uma traição? Elabore! ;normal
verdade; Você já traiu alguém? Explique! ;normal
verdade;Qual pessoa dessa roda você mais confia? ;normal
verdade;Se pudesse escolher uma pessoa da roda para ler os pensamentos por um dia, quem seria? ;normal
verdade;Qual lugar do mundo você jamais iria? ;normal
verdade;Tendo a chance de se encontrar no passado, o que você diria para você mesmo quando era criação?;normal
